 ,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20
ACROSS檔案資源整合查詢平台,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
HKJO - Hong Kong Journals Online,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SOCOLAR (Open Access資源一站式檢索服務平台),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中央研究院漢籍電子文獻(免費每年2月需續訂)(校園內無須輸入帳號及密碼即可瀏覽)。包含: 漢籍全文資料庫/古漢語文獻語料庫/古漢語語料庫(開放)/臺灣文獻叢刊/近代史數位資料庫/清代經世文編/近現代中國史事日誌/新民說/內閣漢文題本專題檔案：刑科婚姻類提要/文心雕龍/佛經三論/姚際恒著作集/泉翁大全集/正統道藏/話集成/新清史-本紀/府詩集/閩南語俗曲唱本「歌仔冊」/人文資料庫師生版1.1 電子書,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
台灣期刊論文索引,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中華民國統計資訊網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全國法規資料庫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
全國特殊教育資訊網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣地名檢索系統,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣大學學術資源網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣百年歷史地圖系統,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣研究入口網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣網站典藏系統,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國家圖書館政府公報資訊網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國家文化資料庫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
學術名詞資訊網,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政府出版資料回應網 OPEN (Official Publications Echo Network),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
